Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Hamilton 	2.29 	10 	25
2 	Racing Bulls 	Lawson 	2.34 	9 	18
3 	Alpine 	Colapinto 	2.54 	32 	15
4 	Red Bull 	Hadjar 	2.58 	1 	12
5 	Alpine 	Gasly 	2.82 	10 	10
6 	Haas 	Bearman 	2.86 	10 	8
7 	Racing Bulls 	Lindblad 	2.86 	42 	6
8 	Mercedes 	Antonelli 	2.87 	10 	4
9 	Williams 	Sainz 	2.89 	9 	2
10 	Aston Martin 	Alonso 	2.99 	31 	1
11 	Mercedes 	Russell 	3.25 	10 	0
12 	Red Bull 	Verstappen 	3.32 	9 	0
13 	Ferrari 	Leclerc 	3.40 	10 	0
14 	Cadillac 	Perez 	5.58 	11 	0
15 	Red Bull 	Hadjar 	5.64 	10 	0
16 	Haas 	Ocon 	5.74 	29 	0
17 	Cadillac 	Bottas 	7.35 	10 	0
18 	Audi 	Hulkenberg 	16.16 	35 	0
19 	Haas 	Ocon 	26.93 	46 	0
