Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Racing Bulls 	Lawson 	2.20 	30 	25
2 	McLaren 	Norris 	2.26 	2 	18
3 	Audi 	Bortoleto 	2.57 	18 	15
4 	Red Bull 	Verstappen 	2.58 	31 	12
5 	Williams 	Sainz 	2.62 	2 	10
6 	Audi 	Bortoleto 	2.64 	2 	0
7 	Red Bull 	Hadjar 	2.70 	31 	8
8 	McLaren 	Piastri 	2.71 	1 	6
9 	Audi 	Hulkenberg 	2.74 	2 	4
10 	Cadillac 	Bottas 	2.93 	29 	2
11 	Aston Martin 	Stroll 	2.94 	49 	1
12 	Haas 	Ocon 	3.22 	16 	0
13 	Ferrari 	Leclerc 	3.23 	31 	0
14 	Cadillac 	Bottas 	3.24 	9 	0
15 	Cadillac 	Perez 	3.31 	2 	0
16 	Cadillac 	Perez 	3.31 	29 	0
17 	Aston Martin 	Alonso 	3.32 	20 	0
18 	Aston Martin 	Stroll 	3.32 	14 	0
19 	Mercedes 	Antonelli 	3.41 	31 	0
20 	Williams 	Sainz 	3.62 	30 	0
21 	Cadillac 	Perez 	3.76 	15 	0
22 	Alpine 	Colapinto 	3.80 	30 	0
23 	Alpine 	Gasly 	4.13 	30 	0
24 	Ferrari 	Hamilton 	4.31 	31 	0
25 	Cadillac 	Bottas 	6.42 	3 	0
26 	McLaren 	Norris 	7.46 	15 	0
27 	Audi 	Hulkenberg 	9.00 	20 	0
28 	Cadillac 	Bottas 	9.42 	49 	0
29 	Red Bull 	Hadjar 	13.25 	52 	0
30 	Haas 	Ocon 	13.39 	30 	0
31 	Red Bull 	Hadjar 	13.88 	62 	0
32 	McLaren 	Piastri 	14.44 	51 	0
33 	McLaren 	Piastri 	14.55 	12 	0
34 	Haas 	Bearman 	24.81 	30 	0
