Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Racing Bulls 	Lindblad 	2.08 	28 	25
2 	Mercedes 	Antonelli 	2.16 	26 	18
3 	Mercedes 	Russell 	2.17 	20 	15
4 	Red Bull 	Verstappen 	2.34 	6 	12
5 	McLaren 	Norris 	2.43 	27 	10
6 	Aston Martin 	Stroll 	2.58 	37 	8
7 	Cadillac 	Perez 	2.73 	29 	6
8 	Aston Martin 	Stroll 	2.76 	21 	0
9 	Alpine 	Colapinto 	2.80 	31 	4
10 	Cadillac 	Bottas 	2.96 	6 	2
11 	Aston Martin 	Alonso 	2.96 	41 	1
12 	Williams 	Albon 	3.08 	27 	0
13 	Audi 	Bortoleto 	3.14 	32 	0
14 	Cadillac 	Bottas 	3.28 	21 	0
15 	McLaren 	Piastri 	3.35 	28 	0
16 	Ferrari 	Leclerc 	3.41 	21 	0
17 	Williams 	Sainz 	3.44 	28 	0
18 	Haas 	Bearman 	3.47 	26 	0
19 	Ferrari 	Hamilton 	3.60 	27 	0
20 	Haas 	Ocon 	3.94 	31 	0
21 	Audi 	Hulkenberg 	12.50 	1 	0
