Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.30 	20 	25
2 	Williams 	Albon 	2.35 	18 	18
3 	Red Bull 	Verstappen 	2.36 	17 	15
4 	Mercedes 	Antonelli 	2.39 	18 	12
5 	Audi 	Bortoleto 	2.50 	20 	10
6 	Aston Martin 	Alonso 	2.72 	19 	8
7 	McLaren 	Piastri 	2.77 	20 	6
8 	Red Bull 	Hadjar 	2.79 	2 	4
9 	Racing Bulls 	Lawson 	2.98 	15 	2
10 	Aston Martin 	Alonso 	3.13 	31 	0
11 	Audi 	Hulkenberg 	3.26 	20 	1
12 	Haas 	Ocon 	3.31 	16 	0
13 	Alpine 	Gasly 	3.33 	14 	0
14 	Cadillac 	Perez 	3.47 	1 	0
15 	Alpine 	Colapinto 	3.48 	15 	0
16 	Red Bull 	Hadjar 	3.50 	1 	0
17 	Racing Bulls 	Lindblad 	4.07 	16 	0
18 	Red Bull 	Hadjar 	4.32 	20 	0
19 	Cadillac 	Bottas 	4.89 	32 	0
20 	Cadillac 	Bottas 	4.93 	1 	0
21 	Haas 	Bearman 	5.42 	1 	0
22 	Cadillac 	Perez 	5.81 	12 	0
23 	McLaren 	Norris 	7.78 	30 	0
24 	Haas 	Bearman 	8.45 	20 	0
25 	Ferrari 	Hamilton 	8.54 	20 	0
26 	Haas 	Ocon 	10.74 	1 	0
27 	Aston Martin 	Stroll 	11.05 	17 	0
28 	Williams 	Sainz 	14.31 	14 	0
