Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.19	41	25
2	Ferrari	Sainz	2.29	27	18
3	Red Bull	Verstappen	2.29	17	0
4	Mercedes	Hamilton	2.31	18	15
5	McLaren	Ricciardo	2.32	26	12
6	Alfa Romeo	Raikkonen	2.35	30	10
7	Mercedes	Hamilton	2.37	42	0
8	McLaren	Norris	2.4	25	8
9	Alfa Romeo	Giovinazzi	2.45	32	6
10	Ferrari	Leclerc	2.47	27	4
11	AlphaTauri	Gasly	2.48	13	2
12	Alpine	Ocon	2.5	24	1
13	Red Bull	Perez	2.55	41	0
14	AlphaTauri	Tsunoda	2.62	9	0
15	Red Bull	Perez	2.71	19	0
16	Haas	Schumacher	2.72	22	0
17	Red Bull	Verstappen	2.72	55	0
18	Alpine	Alonso	2.76	23	0
19	Williams	Latifi	2.85	18	0
20	Williams	Russell	2.88	17	0
21	AlphaTauri	Gasly	3.04	35	0
22	Alfa Romeo	Raikkonen	3.07	10	0
23	Alfa Romeo	Giovinazzi	3.07	15	0
24	Haas	Mazepin	3.08	31	0
25	Aston Martin	Stroll	3.23	23	0
26	McLaren	Norris	3.37	49	0
27	Aston Martin	Vettel	3.42	26	0
28	AlphaTauri	Tsunoda	3.66	34	0
29	Williams	Russell	8.59	49	0
30	Mercedes	Bottas	11.49	33	0
