Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.17	32	25
2	AlphaTauri	Gasly	2.21	45	18
3	Red Bull	Verstappen	2.25	60	0
4	Mercedes	Hamilton	2.26	31	15
5	Alfa Romeo	Giovinazzi	2.28	1	12
6	McLaren	Ricciardo	2.33	29	10
7	Ferrari	Leclerc	2.36	34	8
8	Aston Martin	Vettel	2.36	49	6
9	Mercedes	Bottas	2.44	30	4
10	Aston Martin	Vettel	2.46	17	0
11	AlphaTauri	Tsunoda	2.56	12	2
12	Ferrari	Sainz	2.64	48	1
13	Williams	Latifi	2.73	33	0
14	Aston Martin	Stroll	2.75	46	0
15	Aston Martin	Stroll	2.77	14	0
16	Williams	Russell	2.85	30	0
17	Mercedes	Hamilton	2.87	53	0
18	Red Bull	Perez	3.1	32	0
19	Haas	Mazepin	3.13	27	0
20	Haas	Schumacher	3.18	34	0
21	Alfa Romeo	Raikkonen	3.23	37	0
22	AlphaTauri	Gasly	3.78	13	0
23	Alpine	Alonso	4.28	32	0
24	Haas	Mazepin	4.38	45	0
25	McLaren	Norris	7.87	30	0
26	AlphaTauri	Tsunoda	8.11	51	0
27	Alfa Romeo	Giovinazzi	8.35	29	0
