Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	1.88	40	25
2	Red Bull	Verstappen	1.96	20	0
3	Alfa Romeo	Raikkonen	2.18	53	18
4	Alpine	Ocon	2.19	3	15
5	Mercedes	Hamilton	2.23	4	12
6	AlphaTauri	Gasly	2.34	68	10
7	McLaren	Ricciardo	2.36	20	8
8	Mercedes	Hamilton	2.37	19	0
9	Alpine	Ocon	2.37	37	0
10	Aston Martin	Vettel	2.4	3	6
11	AlphaTauri	Gasly	2.43	30	0
12	Mercedes	Hamilton	2.49	47	0
13	Alpine	Alonso	2.52	39	4
14	Red Bull	Verstappen	2.52	1	0
15	AlphaTauri	Tsunoda	2.58	3	2
16	McLaren	Ricciardo	2.59	3	0
17	Alfa Romeo	Raikkonen	2.63	3	0
18	Red Bull	Verstappen	2.66	3	0
19	Williams	Russell	2.69	3	1
20	AlphaTauri	Gasly	2.69	3	0
21	AlphaTauri	Tsunoda	2.69	22	0
22	Alfa Romeo	Giovinazzi	2.72	33	0
23	Ferrari	Sainz	2.76	32	0
24	Williams	Latifi	2.92	3	0
25	Alpine	Alonso	3.03	3	0
26	Williams	Russell	3.08	21	0
27	Haas	Schumacher	3.31	34	0
28	Aston Martin	Vettel	3.35	36	0
29	Haas	Mazepin	3.56	1	0
30	Ferrari	Sainz	3.8	3	0
31	Williams	Latifi	3.92	23	0
32	Haas	Schumacher	4.4	3	0
33	Alfa Romeo	Giovinazzi	5.07	1	0
34	Alfa Romeo	Giovinazzi	8.62	3	0
35	Alfa Romeo	Giovinazzi	9.79	11	0
36	McLaren	Norris	16	1	0
37	Alfa Romeo	Raikkonen	17.34	15	0
