Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Russell	2.17	15	25
2	Red Bull	Verstappen	2.27	33	18
3	Ferrari	Sainz	2.33	42	15
4	Ferrari	Leclerc	2.38	30	12
5	Red Bull	Perez	2.38	40	10
6	Mercedes	Hamilton	2.48	29	8
7	Mercedes	Bottas	2.5	1	6
8	Alfa Romeo	Raikkonen	2.59	32	4
9	Aston Martin	Vettel	2.65	33	2
10	Mercedes	Bottas	2.72	63	0
11	Alfa Romeo	Giovinazzi	2.74	16	1
12	AlphaTauri	Gasly	2.75	31	0
13	McLaren	Norris	2.89	44	0
14	McLaren	Ricciardo	2.91	38	0
15	Williams	Latifi	3.04	49	0
16	Alpine	Ocon	3.32	14	0
17	Haas	Mazepin	3.44	58	0
18	Williams	Latifi	3.81	11	0
19	Aston Martin	Stroll	3.92	12	0
20	Alpine	Alonso	4.52	39	0
21	Haas	Mazepin	5.11	13	0
22	Mercedes	Bottas	6.3	67	0
23	Aston Martin	Stroll	6.77	34	0
24	Mercedes	Bottas	11.73	40	0
25	McLaren	Ricciardo	17.54	1	0
