Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.02	34	25
2	Mercedes	Hamilton	2.25	29	18
3	Aston Martin	Stroll	2.27	58	15
4	McLaren	Norris	2.29	30	12
5	Williams	Latifi	2.32	43	10
6	Alpine	Ocon	2.35	37	8
7	Alpine	Alonso	2.37	45	6
8	Alfa Romeo	Raikkonen	2.41	43	4
9	Williams	Russell	2.48	31	2
10	AlphaTauri	Tsunoda	2.74	64	1
11	Ferrari	Sainz	2.78	32	0
12	Haas	Schumacher	2.8	37	0
13	Alfa Romeo	Giovinazzi	2.86	33	0
14	Mercedes	Hamilton	2.86	67	0
15	Red Bull	Perez	2.89	35	0
16	McLaren	Ricciardo	3.05	36	0
17	AlphaTauri	Gasly	3.09	30	0
18	Aston Martin	Vettel	3.21	31	0
19	Haas	Mazepin	3.3	34	0
