Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Mercedes	Bottas	2.45	28	25
2	Red Bull	Perez	2.46	50	18
3	AlphaTauri	Gasly	2.5	33	15
4	Mercedes	Bottas	2.51	47	0
5	Ferrari	Leclerc	2.6	51	12
6	Red Bull	Verstappen	2.61	26	10
7	Aston Martin	Vettel	2.66	26	8
8	AlphaTauri	Gasly	2.68	50	0
9	Alpine	Alonso	2.71	50	6
10	Mercedes	Hamilton	2.73	49	4
11	Ferrari	Sainz	2.75	48	2
12	AlphaTauri	Tsunoda	2.81	49	1
13	Mercedes	Hamilton	2.81	26	0
14	Alfa Romeo	Raikkonen	2.86	47	0
15	AlphaTauri	Tsunoda	2.88	13	0
16	Alfa Romeo	Giovinazzi	2.89	36	0
17	Alpine	Ocon	2.92	15	0
18	Alfa Romeo	Raikkonen	2.98	15	0
19	McLaren	Norris	2.98	28	0
20	Haas	Schumacher	3.01	20	0
21	Alpine	Alonso	3.02	36	0
22	Aston Martin	Stroll	3.22	12	0
23	Aston Martin	Vettel	3.22	50	0
24	Williams	Latifi	3.27	13	0
25	Haas	Mazepin	3.27	14	0
26	McLaren	Norris	3.36	51	0
27	Alpine	Ocon	3.42	50	0
28	Red Bull	Verstappen	3.5	48	0
29	McLaren	Ricciardo	3.59	48	0
30	Ferrari	Sainz	3.6	14	0
31	Williams	Russell	3.68	13	0
32	AlphaTauri	Tsunoda	3.7	47	0
33	Alfa Romeo	Giovinazzi	4.58	50	0
34	Ferrari	Leclerc	4.85	35	0
35	Williams	Russell	4.85	47	0
36	Haas	Mazepin	6.12	46	0
37	McLaren	Ricciardo	7.05	22	0
38	Red Bull	Perez	8.96	36	0
39	Aston Martin	Stroll	15.45	48	0
