Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Sauber 	Ericsson 	2.37 		25
2 	Red Bull 	Verstappen 	2.51 		18
3 	Red Bull 	Ricciardo 	2.51 		15
4 	Ferrari 	Vettel 	2.76 		12
5 	Ferrari 	Raikkonen 	2.80 		10
6 	Williams 	Sirotkin 	2.85 		8
7 	Mercedes 	Hamilton 	2.88 		6
8 	Force India 	Perez 	2.88 		4
9 	McLaren 	Alonso 	2.91 		2
10 	McLaren 	Vandoorne 	3.02 		1
11 	Haas 	Magnussen 	3.03 		0
12 	Force India 	Perez 	3.08 		0
13 	Mercedes 	Bottas 	3.23 		0
14 	Sauber 	Leclerc 	3.26 		0
15 	Toro Rosso 	Gasly 	3.49 		0
16 	Haas 	Grosjean 	3.81 		0
17 	Renault 	Hulkenberg 	3.93 		0
18 	Renault 	Sainz 	4.43 		0
19 	Force India 	Ocon 	4.86 		0
20 	McLaren 	Vandoorne 	19.53 		0
