Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Raikkonen 	2.20 		25
2 	Mercedes 	Hamilton 	2.31 		18
3 	Mercedes 	Bottas 	2.36 		15
4 	Red Bull 	Verstappen 	2.56 		12
5 	McLaren 	Vandoorne 	2.58 		10
6 	Sauber 	Leclerc 	2.58 		8
7 	Ferrari 	Vettel 	2.90 		6
8 	Renault 	Hulkenberg 	2.99 		4
9 	Red Bull 	Ricciardo 	3.18 		2
10 	Haas 	Grosjean 	3.24 		1
11 	Force India 	Ocon 	3.48 		0
12 	Williams 	Sirotkin 	3.85 		0
13 	Renault 	Hulkenberg 	3.87 		0
14 	Sauber 	Ericsson 	4.06 		0
15 	Force India 	Perez 	4.12 		0
16 	Renault 	Sainz 	4.57 		0
17 	Williams 	Stroll 	5.36 		0
18 	Sauber 	Ericsson 	5.60 		0
19 	Toro Rosso 	Gasly 	6.48 		0
20 	Ferrari 	Vettel 	10.65 		0
21 	Haas 	Magnussen 	15.46 		0
