Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Williams 	Stroll 	2.18 		25
2 	Red Bull 	Ricciardo 	2.25 		18
3 	Red Bull 	Verstappen 	2.42 		15
4 	Mercedes 	Bottas 	2.58 		12
5 	Ferrari 	Räikkönen 	2.77 		10
6 	Sauber 	Leclerc 	2.80 		8
7 	Ferrari 	Vettel 	2.82 		6
8 	McLaren 	Vandoorne 	2.82 		4
9 	Mercedes 	Hamilton 	2.84 		2
10 	McLaren 	Vandoorne 	2.89 		0
11 	Renault 	Sainz 	2.99 		1
12 	Toro Rosso 	Hartley 	3.11 		0
13 	McLaren 	Vandoorne 	3.12 		0
14 	McLaren 	Alonso 	3.19 		0
15 	Toro Rosso 	Gasly 	3.23 		0
16 	McLaren 	Vandoorne 	3.23 		0
17 	Toro Rosso 	Hartley 	3.24 		0
18 	Toro Rosso 	Hartley 	3.24 		0
19 	Ferrari 	Vettel 	3.28 		0
20 	Renault 	Sainz 	3.36 		0
21 	Haas 	Grosjean 	3.41 		0
22 	Williams 	Stroll 	3.57 		0
23 	Mercedes 	Hamilton 	3.65 		0
24 	Toro Rosso 	Gasly 	3.66 		0
25 	Sauber 	Leclerc 	3.92 		0
26 	Haas 	Magnussen 	3.94 		0
27 	Haas 	Grosjean 	5.12 		0
28 	Sauber 	Ericsson 	6.90 		0
29 	Force India 	Perez 	8.05 		0
30 	Force India 	Perez 	10.05 		0
31 	Ferrari 	Räikkönen 	11.90 		0
32 	Sauber 	Ericsson 	14.07 		0
33 	Haas 	Magnussen 	14.94 		0
34 	Sauber 	Ericsson 	19.42 		0
35 	McLaren 	Alonso 	30.33 		0
