Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Sauber 	Ericsson 	2.32 		25
2 	Toro Rosso 	Hartley 	2.41 		18
3 	Mercedes 	Hamilton 	2.44 		15
4 	Ferrari 	Räikkönen 	2.46 		12
5 	Red Bull 	Verstappen 	2.51 		10
6 	Red Bull 	Ricciardo 	2.59 		8
7 	McLaren 	Vandoorne 	2.60 		6
8 	McLaren 	Alonso 	3.07 		4
9 	Renault 	Hülkenberg 	3.16 		2
10 	Sauber 	Leclerc 	3.19 		1
11 	Renault 	Sainz 	3.29 		0
12 	Haas 	Magnussen 	3.45 		0
13 	Williams 	Sirotkin 	3.70 		0
14 	McLaren 	Alonso 	3.76 		0
15 	Williams 	Stroll 	4.42 		0
16 	Mercedes 	Bottas 	4.53 		0
17 	Haas 	Grosjean 	7.91 		0
18 	Mercedes 	Bottas 	8.75 		0
19 	Ferrari 	Vettel 	9.17 		0
20 	Ferrari 	Vettel 	10.26 		0
