Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Vettel 	2.15 		25
2 	Ferrari 	Räikkönen 	2.20 		18
3 	McLaren 	Vandoorne 	2.29 		15
4 	Mercedes 	Bottas 	2.45 		12
5 	Haas 	Magnussen 	2.45 		10
6 	Red Bull 	Ricciardo 	2.46 		8
7 	Red Bull 	Verstappen 	2.46 		6
8 	Toro Rosso 	Hartley 	2.54 		4
9 	Mercedes 	Hamilton 	2.62 		2
10 	Mercedes 	Hamilton 	2.67 		0
11 	Red Bull 	Verstappen 	2.72 		0
12 	Mercedes 	Bottas 	2.73 		0
13 	Sauber 	Leclerc 	2.74 		1
14 	Toro Rosso 	Gasly 	2.82 		0
15 	Ferrari 	Vettel 	2.93 		0
16 	Williams 	Sirotkin 	2.94 		0
17 	Renault 	Sainz 	2.94 		0
18 	Haas 	Grosjean 	2.97 		0
19 	Force India 	Ocon 	3.07 		0
20 	Renault 	Hülkenberg 	3.13 		0
21 	Force India 	Perez 	3.45 		0
22 	Williams 	Stroll 	3.52 		0
23 	Toro Rosso 	Gasly 	3.55 		0
24 	Haas 	Grosjean 	3.63 		0
25 	Toro Rosso 	Hartley 	3.81 		0
26 	Mercedes 	Bottas 	4.39 		0
27 	Williams 	Stroll 	4.67 		0
28 	Force India 	Ocon 	8.09 		0
29 	Sauber 	Ericsson 	11.68 		0
