Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Ricciardo 	2.26 		25
2 	Williams 	Stroll 	2.36 		18
3 	Red Bull 	Verstappen 	2.38 		15
4 	Williams 	Sirotkin 	2.49 		12
5 	McLaren 	Alonso 	2.49 		10
6 	Williams 	Sirotkin 	2.49 		0
7 	Mercedes 	Hamilton 	2.59 		8
8 	Sauber 	Leclerc 	2.64 		6
9 	Sauber 	Ericsson 	2.67 		4
10 	Ferrari 	Vettel 	2.71 		2
11 	Force India 	Perez 	2.77 		1
12 	Toro Rosso 	Hartley 	2.86 		0
13 	Renault 	Sainz 	2.88 		0
14 	Force India 	Perez 	2.92 		0
15 	Toro Rosso 	Hartley 	3.06 		0
16 	Haas 	Magnussen 	3.36 		0
17 	Williams 	Bottas 	3.93 		0
18 	Force India 	Perez 	4.41 		0
19 	Ferrari 	Vettel 	5.14 		0
20 	McLaren 	Vandoorne 	8.05 		0
21 	Force India 	Ocon 	28.55 		0
