Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Ricciardo 	2.26 		25
2 	Red Bull 	Verstappen 	2.29 		18
3 	Sauber 	Leclerc 	2.36 		0
4 	Williams 	Stroll 	2.38 		15
5 	Mercedes 	Bottas 	2.45 		12
6 	Red Bull 	Verstappen 	2.49 		0
7 	Ferrari 	Vettel 	2.53 		10
8 	McLaren 	Vandoorne 	2.61 		8
9 	Red Bull 	Ricciardo 	2.63 		0
10 	Sauber 	Ericsson 	2.66 		6
11 	McLaren 	Alonso 	2.66 		4
12 	Williams 	Sirotkin 	2.69 		2
13 	Renault 	Sainz 	2.69 		1
14 	McLaren 	Vandoorne 	2.83 		0
15 	Haas 	Magnussen 	2.84 		0
16 	Toro Rosso 	Gasly 	2.86 		0
17 	Force India 	Perez 	2.86 		0
18 	Force India 	Perez 	2.86 		0
19 	Renault 	Hulkenberg 	3.04 		0
20 	Ferrari 	Vettel 	3.17 		0
21 	McLaren 	Alonso 	3.40 		0
22 	Renault 	Sainz 	3.43 		0
23 	Ferrari 	Raikkonen 	3.45 		0
24 	Mercedes 	Hamilton 	3.50 		0
25 	Haas 	Grosjean 	3.70 		0
26 	Force India 	Ocon 	3.77 		0
27 	Toro Rosso 	Gasly 	4.15 		0
28 	Ferrari 	Raikkonen 	12.90 		0
