Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Raikkonen 	2.24 		25
2 	Mercedes 	Hamilton 	2.31 		18
3 	Ferrari 	Vettel 	2.32 		15
4 	Mercedes 	Bottas 	2.42 		12
5 	Toro Rosso 	Gasly 	2.51 		10
6 	Toro Rosso 	Hartley 	2.54 		8
7 	Red Bull 	Ricciardo 	2.61 		6
8 	Sauber 	Ericsson 	2.74 		4
9 	Renault 	Hulkenberg 	2.86 		2
10 	McLaren 	Vandoorne 	2.97 		1
11 	Force India 	Perez 	3.01 		0
12 	Williams 	Sirotkin 	3.02 		0
13 	Haas 	Grosjean 	3.06 		0
14 	Force India 	Ocon 	3.11 		0
15 	Williams 	Stroll 	3.16 		0
16 	Williams 	Sirotkin 	3.21 		0
17 	Renault 	Sainz 	3.49 		0
18 	Haas 	Magnussen 	6.00 		0
19 	Sauber 	Leclerc 	6.30 		0
20 	McLaren 	Alonso 	7.34 		0
21 	Red Bull 	Verstappen 	8.52 		0
22 	Haas 	Magnussen 	8.67 		0
23 	Williams 	Stroll 	9.33 		0
24 	Sauber 	Leclerc 	18.25 		0
