Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Williams 	Stroll 	2.36 		25
2 	Red Bull 	Verstappen 	2.45 		18
3 	Ferrari 	Raikkonen 	2.47 		15
4 	Mercedes 	Hamilton 	2.53 		12
5 	Toro Rosso 	Hartley 	2.57 		10
6 	Haas 	Magnussen 	2.62 		8
7 	Williams 	Sirotkin 	2.64 		6
8 	McLaren 	Vandoorne 	2.72 		4
9 	Ferrari 	Vettel 	2.88 		2
10 	Force India 	Perez 	2.95 		1
11 	Sauber 	Ericsson 	2.96 		0
12 	Mercedes 	Bottas 	2.98 		0
13 	Renault 	Sainz 	3.11 		0
14 	Sauber 	Ericsson 	3.19 		0
15 	Sauber 	Leclerc 	3.25 		0
16 	Haas 	Grosjean 	3.55 		0
17 	Force India 	Ocon 	3.71 		0
18 	Renault 	Hulkenberg 	3.79 		0
19 	McLaren 	Alonso 	3.93 		0
20 	Red Bull 	Ricciardo 	10.69 		0
