Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Sauber 	Leclerc 	2.21 		25
2 	Mercedes 	Hamilton 	2.38 		18
3 	Ferrari 	Vettel 	2.38 		15
4 	Mercedes 	Bottas 	2.39 		12
5 	Red Bull 	Verstappen 	2.48 		10
6 	McLaren 	Alonso 	2.59 		8
7 	Ferrari 	Raikkonen 	2.65 		6
8 	Haas 	Magnussen 	2.65 		4
9 	Toro Rosso 	Gasly 	2.70 		2
10 	Toro Rosso 	Hartley 	2.83 		1
11 	Haas 	Grosjean 	2.91 		0
12 	Force India 	Ocon 	2.92 		0
13 	Red Bull 	Ricciardo 	2.95 		0
14 	Haas 	Grosjean 	2.97 		0
15 	Sauber 	Ericsson 	2.99 		0
16 	Renault 	Sainz 	3.16 		0
17 	Williams 	Stroll 	3.39 		0
18 	Williams 	Sirotkin 	3.39 		0
19 	Williams 	Sirotkin 	3.68 		0
20 	McLaren 	Vandoorne 	3.95 		0
21 	Renault 	Hulkenberg 	4.17 		0
22 	McLaren 	Vandoorne 	5.19 		0
23 	Williams 	Stroll 	7.50 		0
24 	Force India 	Perez 	7.84 		0
25 	Williams 	Sirotkin 	9.98 		0
26 	Williams 	Stroll 	10.90 		0
