Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Williams 	Stroll 	2.20 		25
2 	Red Bull 	Ricciardo 	2.31 		18
3 	Mercedes 	Bottas 	2.45 		15
4 	Sauber 	Ericsson 	2.54 		12
5 	Red Bull 	Verstappen 	2.56 		10
6 	Ferrari 	Vettel 	2.72 		8
7 	Toro Rosso 	Gasly 	2.78 		6
8 	Haas 	Magnussen 	2.82 		4
9 	Sauber 	Leclerc 	2.91 		2
10 	Mercedes 	Hamilton 	2.97 		1
11 	Haas 	Magnussen 	3.09 		0
12 	Ferrari 	Raikkonen 	3.10 		0
13 	Haas 	Grosjean 	3.18 		0
14 	Toro Rosso 	Hartley 	3.28 		0
15 	Force India 	Perez 	3.49 		0
16 	Force India 	Perez 	3.57 		0
17 	Renault 	Sainz 	3.63 		0
18 	McLaren 	Alonso 	3.76 		0
19 	Toro Rosso 	Hartley 	3.80 		0
20 	McLaren 	Vandoorne 	4.06 		0
21 	Williams 	Sirotkin 	4.15 		0
22 	Haas 	Magnussen 	4.39 		0
23 	Renault 	Hulkenberg 	4.75 		0
24 	Williams 	Sirotkin 	7.43 		0
