Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Gasly	2.19	37	25
2	Red Bull	Verstappen	2.3	25	18
3	Williams	Russell	2.38	42	15
4	McLaren	Norris	2.5	15	12
5	Toro Rosso	Albon	2.56	14	10
6	Renault	Hulkenberg	2.62	13	8
7	Mercedes	Hamilton	2.63	15	6
8	Williams	Russell	2.67	26	0
9	Williams	Kubica	2.88	44	4
10	Toro Rosso	Kvyat	3.02	26	2
11	Ferrari	Vettel	3.25	14	1
12	Williams	Kubica	3.28	28	0
13	Haas	Magnussen	3.29	14	0
14	Racing Point	Stroll	3.36	27	0
15	Mercedes	Bottas	3.38	23	0
16	Ferrari	Leclerc	3.48	28	0
17	Racing Point	Perez	4.32	13	0
18	Alfa Romeo	Raikkonen	4.59	12	0
19	Alfa Romeo	Giovinazzi	8.29	27	0
20	Haas	Grosjean	10.82	15	0
21	Williams	Kubica	13.49	1	0
22	Renault	Ricciardo	13.84	1	0
