Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Ferrari	Leclerc	2.27	47	25
2	McLaren	Sainz	2.31	12	18
3	Mercedes	Hamilton	2.32	13	15
4	Williams	Russell	2.39	25	12
5	Ferrari	Vettel	2.45	11	10
6	McLaren	Norris	2.49	9	8
7	Haas	Magnussen	2.55	7	6
8	Williams	Kubica	2.62	42	4
9	Williams	Kubica	2.65	23	0
10	Williams	Russell	2.79	38	0
11	Ferrari	Leclerc	2.8	34	0
12	Renault	Hülkenberg	2.83	34	2
13	Mercedes	Bottas	2.84	12	1
14	Alfa Romeo	Giovinazzi	2.92	7	0
15	Toro Rosso	Kvyat	2.94	5	0
16	Renault	Hülkenberg	3.04	8	0
17	Toro Rosso	Albon	3.04	12	0
18	Haas	Magnussen	3.07	39	0
19	Ferrari	Räikkönen	3.1	6	0
20	Racing Point	Perez	3.11	10	0
21	Red Bull	Verstappen	3.18	14	0
22	Renault	Ricciardo	3.2	10	0
23	Haas	Grosjean	3.27	34	0
24	McLaren	Norris	4.83	39	0
25	Racing Point	Stroll	5.52	10	0
