Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2.07	21	25
2	Renault	Ricciardo	2.36	11	18
3	Ferrari	Vettel	2.43	11	15
4	Red Bull	Verstappen	2.44	11	12
5	Red Bull	Gasly	2.54	62	10
6	McLaren	Sainz	2.57	30	8
7	Red Bull	Gasly	2.6	27	0
8	Haas	Grosjean	2.73	50	6
9	Toro Rosso	Kvyat	2.74	32	4
10	Mercedes	Hamilton	2.91	11	2
11	Racing Point	Stroll	3.07	39	1
12	Mercedes	Bottas	3.13	11	0
13	Toro Rosso	Albon	3.16	40	0
14	Mercedes	Bottas	3.35	12	0
15	McLaren	Norris	3.45	47	0
16	Haas	Magnussen	3.56	11	0
17	Ferrari	Leclerc	3.65	9	0
18	Renault	Hülkenberg	3.66	9	0
19	Ferrari	Leclerc	3.82	16	0
20	Williams	Russell	4.18	10	0
21	Alfa Romeo	Räikkönen	4.44	46	0
22	Racing Point	Perez	7.01	11	0
23	Alfa Romeo	Giovinazzi	13.18	44	0
