Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2	38	25
2	Red Bull	Gasly	2.37	7	18
3	Ferrari	Leclerc	2.38	33	15
4	Red Bull	Verstappen	2.38	48	12
5	Mercedes	Hamilton	2.46	28	10
6	Mercedes	Bottas	2.47	67	8
7	Renault	Hülkenberg	2.71	16	6
8	Ferrari	Vettel	2.71	26	4
9	Alfa Romeo	Giovinazzi	2.81	33	2
10	Racing Point	Stroll	2.84	45	1
11	Williams	Russell	2.86	9	0
12	Racing Point	Perez	2.86	11	0
13	Toro Rosso	Kvyat	2.93	12	0
14	Haas	Grosjean	2.99	34	0
15	Renault	Ricciardo	3	8	0
16	Haas	Magnussen	3.09	39	0
17	Mercedes	Bottas	3.25	30	0
18	Alfa Romeo	Räikkönen	3.97	58	0
19	McLaren	Sainz	3.98	3	0
20	Williams	Kubica	4.1	8	0
21	Alfa Romeo	Räikkönen	4.42	6	0
22	Toro Rosso	Albon	16.62	1	0
