Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.15	34	25
2	Red Bull	Gasly	2.19	19	18
3	Ferrari	Vettel	2.29	35	15
4	Mercedes	Bottas	2.37	21	12
5	McLaren	Sainz	2.39	36	10
6	Red Bull	Gasly	2.47	53	0
7	Ferrari	Vettel	2.53	18	0
8	McLaren	Norris	2.57	34	8
9	Red Bull	Gasly	2.66	39	0
10	Ferrari	Leclerc	2.78	22	6
11	Toro Rosso	Albon	2.81	19	4
12	Mercedes	Hamilton	2.92	22	2
13	Haas	Magnussen	2.93	33	1
14	Ferrari	Leclerc	2.95	42	0
15	Red Bull	Verstappen	3.04	17	0
16	Mercedes	Bottas	3.05	36	0
17	Haas	Grosjean	3.07	8	0
18	Renault	Ricciardo	3.18	18	0
19	Mercedes	Hamilton	3.24	36	0
20	Racing Point	Stroll	3.28	44	0
21	Haas	Grosjean	3.28	35	0
22	Racing Point	Stroll	3.46	20	0
23	Racing Point	Perez	3.47	20	0
24	Haas	Magnussen	3.63	9	0
25	Alfa Romeo	Räikkönen	3.75	25	0
26	Williams	Russell	3.76	49	0
27	Williams	Russell	3.91	22	0
28	Renault	Hülkenberg	3.94	11	0
29	Alfa Romeo	Giovinazzi	4.95	7	0
30	Alfa Romeo	Giovinazzi	5.09	30	0
31	Toro Rosso	Kvyat	5.19	25	0
32	McLaren	Norris	7.28	1	0
33	Williams	Kubica	12.12	26	0
34	McLaren	Norris	13.42	17	0
35	Toro Rosso	Kvyat	23.05	30	0
36	McLaren	Sainz	24.38	1	0
