Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Albon	2.02	20	25
2	Red Bull	Verstappen	2.18	34	18
3	Mercedes	Bottas	2.45	35	15
4	Mercedes	Hamilton	2.49	24	12
5	Renault	Ricciardo	2.5	21	10
6	Williams	Russell	2.5	23	8
7	Renault	Hülkenberg	2.5	39	6
8	Ferrari	Leclerc	2.57	42	4
9	Red Bull	Verstappen	2.6	13	0
10	Williams	Kubica	2.64	11	2
11	Toro Rosso	Gasly	2.71	53	1
12	Red Bull	Albon	2.72	40	0
13	Racing Point	Perez	2.75	24	0
14	Racing Point	Stroll	2.96	9	0
15	Renault	Hülkenberg	3.02	27	0
16	Toro Rosso	Kvyat	3.04	39	0
17	Alfa Romeo	Giovinazzi	3.13	39	0
18	Red Bull	Gasly	3.18	19	0
19	Mercedes	Bottas	3.22	14	0
20	Haas	Grosjean	3.23	24	0
21	Alfa Romeo	Räikkönen	3.32	18	0
22	Haas	Magnussen	3.36	40	0
23	McLaren	Sainz	3.4	18	0
24	Haas	Magnussen	3.5	18	0
25	Alfa Romeo	Räikkönen	3.55	40	0
26	McLaren	Norris	3.59	19	0
27	Alfa Romeo	Giovinazzi	3.89	17	0
28	Racing Point	Stroll	4.01	29	0
29	McLaren	Norris	4.6	42	0
30	Toro Rosso	Kvyat	6.22	21	0
31	Williams	Russell	7.37	46	0
32	Ferrari	Leclerc	7.79	20	0
33	Red Bull	Albon	10.42	1	0
