Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2.24	21	25
2	Toro Rosso	Kvyat	2.31	12	18
3	Red Bull	Verstappen	2.31	19	15
4	Mercedes	Hamilton	2.4	26	12
5	Red Bull	Albon	2.44	20	10
6	Ferrari	Leclerc	2.47	20	8
7	Alfa Romeo	Giovinazzi	2.63	36	6
8	Renault	Hülkenberg	2.79	36	4
9	Racing Point	Perez	2.8	13	2
10	Alfa Romeo	Giovinazzi	2.8	34	0
11	Mercedes	Bottas	2.9	22	1
12	Racing Point	Stroll	2.91	44	0
13	Ferrari	Vettel	3.02	19	0
14	Haas	Magnussen	3.02	18	0
15	Racing Point	Stroll	3.04	31	0
16	Haas	Grosjean	3.05	23	0
17	Renault	Hülkenberg	3.22	1	0
18	Alfa Romeo	Räikkönen	3.36	15	0
19	Williams	Kubica	3.6	44	0
20	Renault	Ricciardo	4.07	34	0
21	Haas	Magnussen	4.19	56	0
22	McLaren	Norris	4.3	20	0
23	McLaren	Sainz	4.41	35	0
24	Toro Rosso	Gasly	6.41	32	0
25	Toro Rosso	Kvyat	8.26	36	0
26	Williams	Russell	11.58	1	0
27	Racing Point	Stroll	12.12	41	0
28	Haas	Grosjean	17.36	35	0
29	McLaren	Sainz	42.42	1	0
