Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Russell	2.02	30	25
2	Red Bull	Albon	2.19	23	18
3	Mercedes	Bottas	2.31	23	15
4	Ferrari	Leclerc	2.48	21	12
5	Toro Rosso	Gasly	2.51	13	10
6	Haas	Magnussen	2.55	25	8
7	Haas	Grosjean	2.58	16	6
8	Ferrari	Vettel	2.59	15	4
9	Renault	Hülkenberg	2.65	31	2
10	Ferrari	Vettel	2.68	33	0
11	McLaren	Norris	2.72	19	1
12	Racing Point	Stroll	2.75	14	0
13	Racing Point	Perez	2.88	15	0
14	Alfa Romeo	Giovinazzi	2.92	29	0
15	Toro Rosso	Kvyat	2.96	24	0
16	Renault	Hülkenberg	3.04	11	0
17	Mercedes	Hamilton	3.62	22	0
18	Williams	Kubica	3.75	31	0
19	Alfa Romeo	Räikkönen	4.14	2	0
20	Racing Point	Stroll	5.14	30	0
21	Alfa Romeo	Räikkönen	6.41	31	0
22	Renault	Ricciardo	7.56	1	0
23	Alfa Romeo	Räikkönen	18.45	1	0
24	McLaren	Sainz	38.27	1	0
