Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Russell	2.19	16	25
2	Red Bull	Verstappen	2.26	67	18
3	Williams	Kubica	2.27	18	15
4	Mercedes	Hamilton	2.35	48	12
5	Ferrari	Leclerc	2.36	27	10
6	Racing Point	Stroll	2.42	50	8
7	Haas	Magnussen	2.57	38	6
8	Alfa Romeo	Raikkonen	2.67	29	4
9	Mercedes	Bottas	2.68	46	2
10	Red Bull	Verstappen	2.68	25	0
11	Renault	Hulkenberg	2.73	36	1
12	Racing Point	Perez	2.76	18	0
13	McLaren	Sainz	2.77	29	0
14	Haas	Grosjean	2.81	19	0
15	Racing Point	Stroll	2.83	16	0
16	Red Bull	Gasly	3.05	28	0
17	Renault	Ricciardo	3.36	46	0
18	Alfa Romeo	Giovinazzi	3.71	15	0
19	Mercedes	Hamilton	4.01	31	0
20	Toro Rosso	Kvyat	4.3	21	0
21	Toro Rosso	Albon	4.59	28	0
22	Ferrari	Vettel	5.87	39	0
23	McLaren	Norris	6.98	28	0
24	Mercedes	Bottas	14.71	5	0
