Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	2.02	19	25
2	Red Bull	Verstappen	2.09	31	18
3	Toro Rosso	Albon	2.23	35	15
4	McLaren	Norris	2.37	25	12
5	McLaren	Sainz	2.42	41	10
6	Alfa Romeo	Giovinazzi	2.56	24	8
7	Red Bull	Gasly	2.58	25	6
8	Ferrari	Leclerc	2.68	22	4
9	Alfa Romeo	Raikkonen	2.68	23	2
10	Racing Point	Stroll	2.83	25	1
11	Renault	Hulkenberg	2.86	26	0
12	Haas	Grosjean	3.01	34	0
13	Racing Point	Perez	3.12	28	0
14	Renault	Ricciardo	3.35	46	0
15	Mercedes	Bottas	3.56	21	0
16	Ferrari	Vettel	3.62	50	0
17	Williams	Russell	3.71	27	0
18	Haas	Magnussen	3.8	11	0
19	Ferrari	Vettel	6.12	21	0
20	Toro Rosso	Kvyat	6.24	32	0
21	Mercedes	Hamilton	11.07	30	0
