Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Williams	Kubica	1.97	24	25
2	Red Bull	Gasly	2.18	17	18
3	Mercedes	Hamilton	2.24	24	15
4	Ferrari	Vettel	2.29	25	12
5	McLaren	Sainz	2.4	19	10
6	Red Bull	Verstappen	2.4	20	8
7	Toro Rosso	Albon	2.58	25	6
8	Alfa Romeo	Raikkonen	2.59	31	4
9	Ferrari	Leclerc	2.73	21	2
10	Toro Rosso	Kvyat	2.84	32	1
11	Ferrari	Vettel	2.9	51	0
12	Racing Point	Stroll	2.98	39	0
13	Mercedes	Bottas	2.99	23	0
14	Haas	Grosjean	3.12	31	0
15	Haas	Magnussen	3.16	16	0
16	Alfa Romeo	Giovinazzi	3.16	7	0
17	Renault	Hulkenberg	3.31	34	0
18	McLaren	Norris	3.33	18	0
19	Renault	Ricciardo	3.54	16	0
20	Alfa Romeo	Giovinazzi	4.1	34	0
21	Williams	Russell	4.41	25	0
22	Racing Point	Perez	9.41	18	0
23	Williams	Russell	9.78	33	0
