Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Tsunoda 	2.17 	13 	25
2 	Ferrari 	Hamilton 	2.21 	11 	18
3 	Racing Bulls 	Lawson 	2.28 	12 	15
4 	Mercedes 	Antonelli 	2.28 	30 	12
5 	Sauber 	Bortoleto 	2.31 	12 	10
6 	Aston Martin 	Alonso 	2.44 	11 	8
7 	Alpine 	Colapinto 	2.53 	12 	6
8 	Mercedes 	Antonelli 	2.53 	12 	0
9 	Williams 	Albon 	2.58 	12 	4
10 	Williams 	Sainz 	2.61 	12 	2
11 	Ferrari 	Leclerc 	2.62 	12 	1
12 	Mercedes 	Russell 	2.67 	12 	0
13 	Aston Martin 	Stroll 	2.67 	12 	0
14 	Haas 	Ocon 	2.72 	13 	0
15 	Racing Bulls 	Hadjar 	2.73 	13 	0
16 	Alpine 	Colapinto 	2.80 	28 	0
17 	Racing Bulls 	Hadjar 	2.85 	20 	0
18 	McLaren 	Piastri 	2.90 	12 	0
19 	Sauber 	Hulkenberg 	2.94 	11 	0
20 	Williams 	Sainz 	2.96 	26 	0
21 	Haas 	Bearman 	3.16 	12 	0
22 	Aston Martin 	Alonso 	3.27 	29 	0
23 	Sauber 	Hulkenberg 	3.44 	32 	0
24 	McLaren 	Norris 	3.57 	13 	0
25 	Alpine 	Gasly 	3.90 	11 	0
26 	Red Bull 	Verstappen 	4.69 	12 	0
