Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Tsunoda 	1.99 	27 	25
2 	Mercedes 	Russell 	2.08 	17 	18
3 	McLaren 	Norris 	2.33 	22 	15
4 	Red Bull 	Tsunoda 	2.43 	1 	0
5 	Racing Bulls 	Lawson 	2.44 	28 	12
6 	Williams 	Sainz 	2.48 	22 	10
7 	Aston Martin 	Alonso 	2.49 	16 	8
8 	Ferrari 	Leclerc 	2.55 	24 	6
9 	McLaren 	Piastri 	2.56 	21 	4
10 	Racing Bulls 	Hadjar 	2.79 	20 	2
11 	Haas 	Bearman 	2.94 	17 	1
12 	Red Bull 	Verstappen 	2.95 	25 	0
13 	Mercedes 	Antonelli 	2.99 	2 	0
14 	Ferrari 	Hamilton 	3.03 	29 	0
15 	Haas 	Ocon 	3.21 	27 	0
16 	Sauber 	Hulkenberg 	3.58 	30 	0
17 	Williams 	Albon 	3.85 	13 	0
18 	Alpine 	Colapinto 	3.88 	25 	0
19 	Alpine 	Gasly 	5.02 	2 	0
20 	Williams 	Albon 	9.96 	34 	0
21 	Williams 	Albon 	11.30 	14 	0
22 	Racing Bulls 	Lawson 	12.90 	2 	0
23 	Sauber 	Bortoleto 	14.27 	1 	0
