Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Sauber 	Bortoleto 	2.24 	19 	25
2 	McLaren 	Piastri 	2.25 	29 	18
3 	Alpine 	Gasly 	2.31 	32 	15
4 	Red Bull 	Tsunoda 	2.33 	27 	12
5 	McLaren 	Norris 	2.38 	29 	10
6 	Racing Bulls 	Hadjar 	2.39 	22 	8
7 	Ferrari 	Leclerc 	2.39 	29 	6
8 	Williams 	Albon 	2.52 	26 	4
9 	Racing Bulls 	Lawson 	2.52 	28 	2
10 	Aston Martin 	Stroll 	2.54 	20 	1
11 	Sauber 	Hulkenberg 	2.57 	36 	0
12 	Red Bull 	Verstappen 	2.77 	26 	0
13 	Williams 	Sainz 	2.98 	25 	0
14 	Haas 	Ocon 	3.08 	23 	0
15 	Ferrari 	Hamilton 	3.47 	28 	0
16 	Aston Martin 	Alonso 	3.69 	28 	0
17 	Mercedes 	Antonelli 	4.40 	25 	0
18 	Mercedes 	Russell 	4.51 	29 	0
