Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Sauber 	Bortoleto 	2.13 	19 	25
2 	Alpine 	Gasly 	2.15 	31 	18
3 	Ferrari 	Leclerc 	2.17 	17 	15
4 	McLaren 	Piastri 	2.23 	49 	12
5 	Alpine 	Colapinto 	2.24 	54 	10
6 	Ferrari 	Hamilton 	2.25 	16 	8
7 	Mercedes 	Russell 	2.27 	20 	6
8 	McLaren 	Piastri 	2.27 	22 	0
9 	Red Bull 	Tsunoda 	2.29 	44 	4
10 	McLaren 	Norris 	2.29 	48 	2
11 	Ferrari 	Leclerc 	2.29 	40 	0
12 	Red Bull 	Verstappen 	2.31 	29 	1
13 	Racing Bulls 	Lawson 	2.33 	44 	0
14 	Racing Bulls 	Hadjar 	2.34 	48 	0
15 	Red Bull 	Verstappen 	2.34 	55 	0
16 	Mercedes 	Russell 	2.36 	41 	0
17 	Red Bull 	Tsunoda 	2.37 	8 	0
18 	Red Bull 	Verstappen 	2.40 	47 	0
19 	Alpine 	Colapinto 	2.41 	39 	0
20 	Racing Bulls 	Hadjar 	2.45 	19 	0
21 	Red Bull 	Tsunoda 	2.46 	24 	0
22 	Alpine 	Gasly 	2.47 	10 	0
23 	Red Bull 	Verstappen 	2.50 	13 	0
24 	Mercedes 	Antonelli 	2.50 	21 	0
25 	Racing Bulls 	Hadjar 	2.50 	55 	0
26 	Red Bull 	Tsunoda 	2.54 	54 	0
27 	Sauber 	Hulkenberg 	2.56 	45 	0
28 	Racing Bulls 	Lawson 	2.57 	18 	0
29 	Haas 	Bearman 	2.67 	8 	0
30 	Aston Martin 	Alonso 	2.68 	54 	0
31 	Sauber 	Hulkenberg 	2.71 	9 	0
32 	Ferrari 	Hamilton 	2.72 	55 	0
33 	Haas 	Ocon 	2.77 	43 	0
34 	Sauber 	Hulkenberg 	2.79 	56 	0
35 	Williams 	Sainz 	2.80 	55 	0
36 	Haas 	Ocon 	2.81 	20 	0
37 	Ferrari 	Leclerc 	2.81 	55 	0
38 	Aston Martin 	Alonso 	2.83 	42 	0
39 	Alpine 	Colapinto 	2.85 	14 	0
40 	McLaren 	Norris 	2.96 	21 	0
41 	Haas 	Bearman 	2.98 	35 	0
42 	Williams 	Sainz 	3.01 	34 	0
43 	Alpine 	Gasly 	3.08 	55 	0
44 	Aston Martin 	Alonso 	3.12 	15 	0
45 	McLaren 	Piastri 	3.33 	55 	0
46 	Sauber 	Bortoleto 	3.45 	49 	0
47 	Haas 	Bearman 	3.45 	54 	0
48 	Mercedes 	Russell 	3.53 	55 	0
49 	Mercedes 	Antonelli 	3.83 	49 	0
50 	McLaren 	Norris 	3.97 	55 	0
51 	Ferrari 	Hamilton 	4.96 	46 	0
52 	Williams 	Sainz 	10.88 	9 	0
53 	Williams 	Albon 	11.44 	6 	0
54 	Williams 	Albon 	16.94 	26 	0
