Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Piastri 	2.10 	53 	25
2 	Racing Bulls 	Lawson 	2.18 	32 	18
3 	Ferrari 	Hamilton 	2.18 	50 	15
4 	Racing Bulls 	Hadjar 	2.24 	2 	12
5 	Alpine 	Colapinto 	2.24 	39 	10
6 	Ferrari 	Hamilton 	2.24 	26 	0
7 	Sauber 	Bortoleto 	2.29 	49 	8
8 	Sauber 	Hulkenberg 	2.30 	12 	6
9 	Sauber 	Hulkenberg 	2.31 	42 	0
10 	Ferrari 	Leclerc 	2.32 	25 	4
11 	Red Bull 	Tsunoda 	2.35 	18 	2
12 	Mercedes 	Russell 	2.39 	18 	1
13 	Sauber 	Bortoleto 	2.44 	21 	0
14 	Ferrari 	Leclerc 	2.45 	49 	0
15 	McLaren 	Norris 	2.50 	52 	0
16 	Williams 	Albon 	2.53 	13 	0
17 	Aston Martin 	Stroll 	2.55 	53 	0
18 	Racing Bulls 	Hadjar 	2.75 	28 	0
19 	Alpine 	Gasly 	2.77 	38 	0
20 	Aston Martin 	Alonso 	2.81 	33 	0
21 	Alpine 	Gasly 	2.92 	12 	0
22 	Mercedes 	Russell 	2.93 	45 	0
23 	Haas 	Bearman 	3.00 	39 	0
24 	Haas 	Ocon 	3.09 	50 	0
25 	McLaren 	Norris 	3.15 	20 	0
26 	Haas 	Bearman 	3.17 	11 	0
27 	McLaren 	Piastri 	3.45 	24 	0
28 	Aston Martin 	Stroll 	3.68 	26 	0
29 	Alpine 	Colapinto 	3.95 	13 	0
30 	Haas 	Ocon 	3.98 	19 	0
31 	Red Bull 	Tsunoda 	10.60 	30 	0
32 	Red Bull 	Tsunoda 	13.68 	60 	0
