Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	McLaren	Norris	2.27	19	25
2	Red Bull	Perez	2.29	50	18
3	Red Bull	Verstappen	2.34	51	15
4	Red Bull	Verstappen	2.36	19	0
5	McLaren	Ricciardo	2.44	30	12
6	Ferrari	Leclerc	2.48	49	10
7	Aston Martin	Vettel	2.52	17	8
8	McLaren	Ricciardo	2.66	16	0
9	AlphaTauri	Gasly	2.78	17	6
10	Williams	Albon	2.85	17	4
11	Williams	Latifi	2.89	18	2
12	Red Bull	Perez	3.08	18	0
13	AlphaTauri	Tsunoda	3.17	18	1
14	Mercedes	Russell	3.56	18	0
15	McLaren	Ricciardo	3.6	2	0
16	Haas	Schumacher	3.64	18	0
17	Alpine	Ocon	3.7	18	0
18	Haas	Schumacher	3.71	52	0
19	Ferrari	Leclerc	3.73	19	0
20	Aston Martin	Stroll	4.67	18	0
21	Mercedes	Hamilton	4.81	18	0
22	Haas	Magnussen	4.93	18	0
23	Alfa Romeo	Zhou	5.29	18	0
24	Ferrari	Leclerc	8.88	53	0
25	Alfa Romeo	Bottas	11.84	18	0
