Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.03	18	25
2	Red Bull	Albon	2.08	12	18
3	AlphaTauri	Kvyat	2.33	8	15
4	McLaren	Norris	2.41	9	12
5	Williams	Russell	2.42	42	10
6	Red Bull	Albon	2.43	34	0
7	Renault	Ocon	2.53	10	8
8	Renault	Ricciardo	2.6	10	6
9	Alfa Romeo	Raikkonen	2.62	50	4
10	Renault	Ricciardo	2.64	32	0
11	Mercedes	Bottas	2.68	7	2
12	Williams	Russell	2.84	32	0
13	Ferrari	Vettel	2.86	8	1
14	McLaren	Sainz	2.87	10	0
15	Mercedes	Hamilton	2.88	8	0
16	McLaren	Sainz	2.9	33	0
17	Racing Point	Stroll	2.98	9	0
18	Ferrari	Leclerc	3.06	30	0
19	Racing Point	Stroll	3.22	36	0
20	Mercedes	Bottas	3.26	46	0
21	AlphaTauri	Gasly	3.31	33	0
22	Ferrari	Leclerc	3.41	6	0
23	AlphaTauri	Gasly	3.41	10	0
24	Williams	Latifi	3.46	8	0
25	Haas	Magnussen	3.63	8	0
26	Red Bull	Verstappen	3.76	43	0
27	Red Bull	Verstappen	4.03	11	0
28	Alfa Romeo	Giovinazzi	4.3	8	0
29	McLaren	Norris	4.52	36	0
30	Renault	Ocon	4.6	1	0
31	Racing Point	Perez	4.98	10	0
32	Haas	Magnussen	5.17	34	0
33	Ferrari	Vettel	5.34	33	0
34	Haas	Grosjean	5.73	8	0
35	Alfa Romeo	Raikkonen	9.91	8	0
36	Haas	Grosjean	10.6	36	0
37	Alfa Romeo	Raikkonen	10.82	30	0
38	Williams	Latifi	14.78	38	0
