Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.36	10	25
2	Williams	Latifi	2.48	11	18
3	Renault	Ocon	2.49	10	15
4	Mercedes	Bottas	2.52	10	12
5	McLaren	Norris	2.58	10	10
6	Alfa Romeo	Giovinazzi	2.61	27	8
7	Red Bull	Albon	2.62	10	6
8	Mercedes	Hamilton	2.91	10	4
9	Williams	Russell	2.92	10	2
10	Racing Point	Stroll	2.95	10	1
11	McLaren	Sainz	3.03	10	0
12	Ferrari	Leclerc	3.18	22	0
13	AlphaTauri	Gasly	3.19	10	0
14	Alfa Romeo	Raikkonen	3.27	10	0
15	Ferrari	Vettel	3.28	35	0
16	AlphaTauri	Kvyat	3.42	10	0
17	Haas	Magnussen	3.57	31	0
18	Renault	Ricciardo	3.58	39	0
19	Haas	Magnussen	3.88	47	0
20	Williams	Latifi	3.92	35	0
21	Haas	Fittipaldi	4.24	48	0
22	Haas	Fittipaldi	7.06	10	0
23	Haas	Fittipaldi	9.33	34	0
