Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	2.18	13	25
2	Alfa Romeo	Giovinazzi	2.38	12	18
3	Mercedes	Hamilton	2.38	13	15
4	Red Bull	Albon	2.41	6	12
5	Mercedes	Bottas	2.45	13	10
6	Red Bull	Verstappen	2.46	50	0
7	McLaren	Sainz	2.67	13	8
8	Renault	Ocon	2.87	12	6
9	Racing Point	Stroll	2.97	13	4
10	Williams	Russell	3.12	12	2
11	AlphaTauri	Gasly	3.18	12	1
12	Ferrari	Leclerc	3.27	13	0
13	Ferrari	Vettel	3.53	12	0
14	Renault	Ricciardo	3.56	12	0
15	Williams	Latifi	3.63	12	0
16	McLaren	Norris	4.53	12	0
17	Mercedes	Bottas	6.57	50	0
18	Haas	Grosjean	6.75	36	0
19	Red Bull	Albon	7.62	30	0
20	Alfa Romeo	Raikkonen	9.59	12	0
21	McLaren	Sainz	10.33	51	0
22	Alfa Romeo	Raikkonen	17.95	47	0
