Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Alfa Romeo	Giovinazzi	2.43	20	25
2	McLaren	Sainz	2.68	22	18
3	McLaren	Norris	2.68	22	15
4	AlphaTauri	Gasly	2.79	19	12
5	Alfa Romeo	Raikkonen	2.83	18	10
6	Williams	Russell	2.83	22	8
7	Ferrari	Leclerc	2.86	17	6
8	Mercedes	Bottas	2.95	22	4
9	Mercedes	Hamilton	3.13	20	2
10	Renault	Ocon	3.17	22	1
11	Red Bull	Verstappen	3.23	22	0
12	Haas	Grosjean	3.66	22	0
13	Renault	Ricciardo	3.81	22	0
14	AlphaTauri	Kvyat	3.81	22	0
15	Racing Point	Perez	4.7	22	0
16	Williams	Latifi	7.71	16	0
17	Red Bull	Albon	7.88	22	0
18	Alfa Romeo	Giovinazzi	10.13	30	0
19	Mercedes	Hamilton	10.24	28	0
20	Haas	Magnussen	18.27	1	0
