Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1	Red Bull	Verstappen	1.95	24	25
2	Red Bull	Verstappen	2.18	68	0
3	Red Bull	Albon	2.22	35	18
4	Mercedes	Bottas	2.39	34	15
5	Alfa Romeo	Raikkonen	2.58	44	12
6	Mercedes	Hamilton	2.62	27	10
7	Williams	Russell	2.8	34	8
8	Renault	Ricciardo	2.83	37	6
9	AlphaTauri	Kvyat	2.85	36	4
10	Alfa Romeo	Giovinazzi	2.95	39	2
11	Haas	Magnussen	2.98	31	1
12	McLaren	Sainz	3.04	66	0
13	AlphaTauri	Gasly	3.06	24	0
14	Racing Point	Stroll	3.23	33	0
15	Williams	Latifi	3.28	32	0
16	AlphaTauri	Gasly	3.39	49	0
17	Haas	Grosjean	3.46	37	0
18	McLaren	Norris	3.72	39	0
19	Racing Point	Perez	3.73	38	0
20	McLaren	Sainz	7.27	32	0
21	Ferrari	Leclerc	20	1	0
