Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	2.10 	14 	25
2 	AlphaTauri 	de Vries 	2.28 	37 	18
3 	AlphaTauri 	de Vries 	2.31 	12 	0
4 	Red Bull 	Verstappen 	2.32 	24 	15
5 	Red Bull 	Verstappen 	2.33 	49 	0
6 	Red Bull 	Verstappen 	2.38 	69 	0
7 	Ferrari 	Leclerc 	2.40 	47 	12
8 	Williams 	Sargeant 	2.45 	43 	10
9 	Red Bull 	Perez 	2.46 	50 	8
10 	Alpine 	Gasly 	2.54 	14 	6
11 	Aston Martin 	Alonso 	2.55 	44 	4
12 	AlphaTauri 	Tsunoda 	2.60 	43 	2
13 	Alpine 	Ocon 	2.61 	14 	1
14 	Red Bull 	Perez 	2.66 	25 	0
15 	Aston Martin 	Stroll 	2.69 	54 	0
16 	Aston Martin 	Stroll 	2.72 	36 	0
17 	Aston Martin 	Alonso 	2.74 	15 	0
18 	Williams 	Albon 	2.75 	14 	0
19 	Alfa Romeo 	Bottas 	2.81 	40 	0
20 	Mercedes 	Russell 	2.87 	41 	0
21 	Aston Martin 	Stroll 	2.89 	15 	0
22 	Mercedes 	Hamilton 	2.91 	14 	0
23 	Alfa Romeo 	Zhou 	3.00 	38 	0
24 	McLaren 	Piastri 	3.08 	41 	0
25 	Haas 	Hulkenberg 	3.10 	11 	0
26 	Haas 	Magnussen 	3.10 	34 	0
27 	McLaren 	Norris 	3.12 	41 	0
28 	McLaren 	Piastri 	3.14 	14 	0
29 	Williams 	Sargeant 	3.21 	14 	0
30 	Mercedes 	Russell 	3.29 	14 	0
31 	Ferrari 	Leclerc 	4.46 	15 	0
32 	Ferrari 	Sainz 	4.56 	15 	0
33 	Alfa Romeo 	Zhou 	5.36 	8 	0
34 	Haas 	Magnussen 	6.44 	2 	0
35 	Haas 	Magnussen 	7.15 	1 	0
36 	AlphaTauri 	Tsunoda 	8.47 	23 	0
37 	Williams 	Albon 	8.86 	41 	0
38 	Mercedes 	Hamilton 	8.94 	42 	0
39 	Alpine 	Gasly 	9.25 	44 	0
40 	Ferrari 	Sainz 	9.40 	45 	0
41 	AlphaTauri 	Tsunoda 	10.27 	1 	0
42 	McLaren 	Piastri 	10.61 	22 	0
43 	Alpine 	Ocon 	11.34 	40 	0
44 	Alfa Romeo 	Bottas 	12.44 	21 	0
