Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Ferrari 	Leclerc 	2.19 	13 	25
2 	Red Bull 	Perez 	2.24 	29 	18
3 	AlphaTauri 	Tsunoda 	2.29 	9 	15
4 	AlphaTauri 	Ricciardo 	2.35 	5 	12
5 	Red Bull 	Verstappen 	2.38 	30 	10
6 	Aston Martin 	Alonso 	2.42 	10 	8
7 	Alpine 	Ocon 	2.45 	6 	6
8 	AlphaTauri 	Tsunoda 	2.49 	24 	0
9 	Red Bull 	Verstappen 	2.51 	14 	0
10 	AlphaTauri 	Ricciardo 	2.56 	22 	0
11 	Ferrari 	Sainz 	2.65 	7 	4
12 	Ferrari 	Leclerc 	2.74 	28 	0
13 	Williams 	Sargeant 	2.75 	34 	2
14 	Mercedes 	Hamilton 	2.76 	12 	1
15 	Alpine 	Ocon 	2.76 	25 	0
16 	Williams 	Albon 	2.84 	23 	0
17 	Mercedes 	Hamilton 	2.85 	27 	0
18 	Williams 	Albon 	2.92 	33 	0
19 	Mercedes 	Russell 	2.93 	22 	0
20 	Mercedes 	Hamilton 	2.93 	42 	0
21 	Haas 	Magnussen 	3.02 	5 	0
22 	Alfa Romeo 	Bottas 	3.09 	6 	0
23 	Haas 	Magnussen 	3.11 	25 	0
24 	Williams 	Sargeant 	3.13 	8 	0
25 	Red Bull 	Perez 	3.22 	13 	0
26 	Alfa Romeo 	Bottas 	3.24 	24 	0
27 	McLaren 	Norris 	3.33 	17 	0
28 	Aston Martin 	Alonso 	3.33 	29 	0
29 	Alfa Romeo 	Zhou 	3.42 	25 	0
30 	Williams 	Sargeant 	3.44 	24 	0
31 	Alfa Romeo 	Zhou 	3.88 	7 	0
32 	Haas 	Hulkenberg 	3.99 	12 	0
33 	Aston Martin 	Stroll 	4.36 	20 	0
34 	McLaren 	Norris 	4.38 	5 	0
35 	Williams 	Albon 	4.71 	7 	0
36 	Alpine 	Gasly 	5.01 	23 	0
37 	Haas 	Hulkenberg 	5.11 	24 	0
