Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	2.08 	26 	25
2 	Ferrari 	Sainz 	2.23 	25 	18
3 	RB 	Tsunoda 	2.41 	22 	15
4 	Mercedes 	Russell 	2.49 	26 	12
5 	Mercedes 	Hamilton 	2.52 	34 	10
6 	Haas 	Hulkenberg 	2.54 	13 	8
7 	Haas 	Magnussen 	2.61 	29 	6
8 	Alpine 	Gasly 	2.67 	14 	4
9 	Alpine 	Doohan 	2.67 	22 	2
10 	Aston Martin 	Stroll 	2.68 	32 	1
11 	Ferrari 	Leclerc 	2.78 	20 	0
12 	Haas 	Magnussen 	2.85 	55 	0
13 	Haas 	Magnussen 	2.99 	30 	0
14 	Williams 	Albon 	3.16 	12 	0
15 	Aston Martin 	Alonso 	3.44 	37 	0
16 	RB 	Lawson 	3.58 	24 	0
17 	Sauber 	Zhou 	3.78 	12 	0
18 	Aston Martin 	Stroll 	4.00 	11 	0
19 	RB 	Lawson 	4.25 	23 	0
20 	Aston Martin 	Alonso 	4.30 	13 	0
21 	McLaren 	Piastri 	4.43 	4 	0
22 	Williams 	Colapinto 	4.95 	3 	0
23 	Haas 	Magnussen 	7.27 	12 	0
24 	Sauber 	Zhou 	9.24 	39 	0
25 	RB 	Lawson 	12.21 	29 	0
26 	McLaren 	Piastri 	13.42 	32 	0
27 	Red Bull 	Verstappen 	13.56 	29 	0
28 	Sauber 	Bottas 	21.54 	6 	0
