Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	RB 	Ricciardo 	2.01 	7 	25
2 	Red Bull 	Perez 	2.08 	47 	18
3 	Alpine 	Ocon 	2.11 	30 	15
4 	Alpine 	Ocon 	2.17 	64 	0
5 	Alpine 	Gasly 	2.27 	28 	12
6 	Mercedes 	Russell 	2.29 	53 	10
7 	Red Bull 	Perez 	2.30 	28 	0
8 	Alpine 	Ocon 	2.32 	6 	0
9 	Mercedes 	Hamilton 	2.34 	16 	8
10 	Red Bull 	Verstappen 	2.34 	49 	6
11 	McLaren 	Norris 	2.36 	45 	4
12 	RB 	Ricciardo 	2.37 	28 	0
13 	Ferrari 	Sainz 	2.40 	47 	2
14 	Mercedes 	Russell 	2.43 	33 	0
15 	McLaren 	Piastri 	2.51 	18 	1
16 	RB 	Tsunoda 	2.52 	29 	0
17 	Ferrari 	Sainz 	2.54 	21 	0
18 	Aston Martin 	Alonso 	2.70 	37 	0
19 	Sauber 	Zhou 	2.74 	7 	0
20 	Sauber 	Bottas 	2.74 	45 	0
21 	Williams 	Sargeant 	2.75 	8 	0
22 	McLaren 	Norris 	2.80 	17 	0
23 	Mercedes 	Hamilton 	2.81 	40 	0
24 	Sauber 	Bottas 	2.87 	16 	0
25 	Williams 	Sargeant 	2.91 	33 	0
26 	McLaren 	Piastri 	2.92 	47 	0
27 	Ferrari 	Leclerc 	2.94 	40 	0
28 	Sauber 	Zhou 	2.95 	36 	0
29 	Ferrari 	Leclerc 	2.97 	23 	0
30 	Red Bull 	Verstappen 	3.04 	21 	0
31 	Williams 	Albon 	3.04 	6 	0
32 	Aston Martin 	Stroll 	3.06 	45 	0
33 	Haas 	Hulkenberg 	3.10 	2 	0
34 	Haas 	Magnussen 	3.14 	6 	0
35 	Aston Martin 	Alonso 	3.30 	7 	0
36 	Williams 	Sargeant 	3.34 	63 	0
37 	Haas 	Hulkenberg 	3.36 	29 	0
38 	Haas 	Magnussen 	3.52 	34 	0
39 	Aston Martin 	Stroll 	4.18 	14 	0
40 	Williams 	Albon 	4.95 	29 	0
