Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	RB 	Tsunoda 	2.18 	32 	25
2 	McLaren 	Piastri 	2.40 	33 	18
3 	Ferrari 	Sainz 	2.41 	30 	15
4 	Sauber 	Zhou 	2.43 	18 	12
5 	Ferrari 	Leclerc 	2.44 	24 	10
6 	RB 	Ricciardo 	2.44 	29 	8
7 	Williams 	Albon 	2.48 	54 	6
8 	Sauber 	Bottas 	2.53 	15 	4
9 	Red Bull 	Verstappen 	2.53 	27 	2
10 	Alpine 	Ocon 	2.53 	30 	1
11 	Mercedes 	Hamilton 	2.60 	48 	0
12 	Aston Martin 	Alonso 	2.62 	31 	0
13 	Sauber 	Bottas 	2.63 	43 	0
14 	RB 	Tsunoda 	2.65 	14 	0
15 	Williams 	Albon 	2.69 	12 	0
16 	Mercedes 	Hamilton 	2.70 	23 	0
17 	Aston Martin 	Stroll 	2.71 	30 	0
18 	Haas 	Magnussen 	2.83 	40 	0
19 	Mercedes 	Russell 	2.87 	54 	0
20 	Haas 	Hulkenberg 	3.04 	14 	0
21 	McLaren 	Norris 	3.10 	28 	0
22 	Alpine 	Gasly 	3.37 	32 	0
23 	Williams 	Sargeant 	3.40 	22 	0
24 	Mercedes 	Russell 	3.40 	25 	0
25 	Sauber 	Zhou 	3.46 	51 	0
26 	Red Bull 	Perez 	4.45 	29 	0
