Pos.	Team	Driver	Time (sec)	Lap	Points
1	Red Bull	Perez	2.1	35	25
2	Ferrari	Leclerc	2.18	34	18
3	Ferrari	Leclerc	2.2	9	
4	Alpine	Ocon	2.43	42	15
5	Mercedes	Hamilton	2.46	7	12
6	RB	Tsunoda	2.47	36	10
7	McLaren	Piastri	2.49	9	8
8	Mercedes	Russell	2.51	45	6
9	Williams	Albon	2.54	6	4
10	Alpine	Gasly	2.58	41	2
11	Mercedes	Russell	2.59	8	
12	Ferrari	Sainz	2.61	16	1
13	McLaren	Norris	2.63	14	
14	McLaren	Norris	2.63	40	
15	Aston Martin	Stroll	2.65	8	
16	Aston Martin	Alonso	2.66	41	
17	RB	Ricciardo	2.67	29	
18	Ferrari	Sainz	2.67	41	
19	Williams	Albon	2.75	27	
20	Haas	Hulkenberg	2.82	35	
21	Aston Martin	Alonso	2.83	17	
22	Aston Martin	Stroll	2.87	37	
23	RB	Ricciardo	2.88	5	
24	Alpine	Ocon	2.88	9	
25	Red Bull	Perez	2.88	14	
26	Haas	Hulkenberg	3	17	
27	Haas	Magnussen	3.04	7	
28	Haas	Magnussen	3.05	33	
29	RB	Tsunoda	3.37	9	
30	Sauber	Zhou	3.4	6	
31	McLaren	Piastri	3.51	39	
32	Sauber	Bottas	3.63	36	
33	Alpine	Gasly	5.04	17	
34	Alpine	Ocon	14.71	16	
35	Sauber	Zhou	20.2	35	
36	Sauber	Bottas	31.18	8	
