Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Perez 	2.29 	35 	25
2 	McLaren 	Piastri 	2.36 	34 	18
3 	Sauber 	Bottas 	2.42 	24 	15
4 	Red Bull 	Verstappen 	2.52 	35 	12
5 	McLaren 	Norris 	2.58 	35 	10
6 	Mercedes 	Russell 	2.60 	35 	8
7 	Aston Martin 	Alonso 	2.60 	36 	6
8 	Haas 	Hulkenberg 	2.63 	31 	4
9 	Ferrari 	Leclerc 	2.79 	35 	2
10 	Aston Martin 	Alonso 	2.79 	35 	0
11 	Haas 	Magnussen 	2.99 	27 	1
12 	Sauber 	Zhou 	3.05 	35 	0
13 	RB 	Tsunoda 	3.06 	35 	0
14 	Alpine 	Gasly 	3.10 	35 	0
15 	Sauber 	Bottas 	3.28 	35 	0
16 	Aston Martin 	Stroll 	3.46 	1 	0
17 	RB 	Tsunoda 	3.47 	37 	0
18 	RB 	Lawson 	3.58 	40 	0
19 	Williams 	Albon 	3.85 	35 	0
20 	Haas 	Hulkenberg 	5.81 	1 	0
21 	Mercedes 	Russell 	7.01 	23 	0
22 	Ferrari 	Sainz 	9.89 	34 	0
23 	Mercedes 	Hamilton 	10.44 	34 	0
24 	McLaren 	Norris 	10.81 	45 	0
25 	RB 	Lawson 	14.00 	35 	0
26 	Williams 	Albon 	14.21 	55 	0
27 	Aston Martin 	Stroll 	15.28 	7 	0
